,B,C,A
218.0,0.16314537160737153,0.8835818539238393,0.37121727535034976
218.5,0.1512529117999628,0.8208130820723778,0.3704525810872189
219.0,0.14108234778405343,0.7596627117941738,0.36973098757671624
219.5,0.13243342382046142,0.7005800956256304,0.36904460659570104
220.0,0.12512068322755787,0.6439470130241824,0.3683879952639894
220.5,0.11897450931739957,0.5900765509000295,0.3677579112360817
221.0,0.11384169082379325,0.5392137630033936,0.3671531530153609
221.5,0.10958559536171632,0.4915379342247604,0.3665744821704634
222.0,0.10608603373198733,0.44716624065417077,0.3660246247203719
222.5,0.10323889436955035,0.40615857239029174,0.36550834946675415
223.0,0.10095562150931459,0.3685232734208034,0.36503262148271454
223.5,0.09916260325704584,0.33422355071690335,0.3646068292156213
224.0,0.09780052719408112,0.30318431186366773,0.36424308363353636
224.5,0.09682375183167913,0.2752992056192246,0.3639565874528975
225.0,0.09619973250334993,0.25043766107369103,0.3637660716515627
225.5,0.09590853040350683,0.22845174677108215,0.36369429512999507
226.0,0.09594242363923437,0.20918269947146684,0.36376860148346
226.5,0.09630562949053018,0.19246700146977613,0.36402152435867563
227.0,0.09701413766066153,0.17814191403098642,0.3644914297835072
227.5,0.09809564520331192,0.16605040126587453,0.36522318020302313
228.0,0.09958957508969768,0.15604540265468045,0.36626880079126095
228.5,0.1015471520889964,0.14799343272923673,0.36768812403952444
229.0,0.10403150186682515,0.14177750275791381,0.36954938380004276
229.5,0.10711773208508973,0.13729937155053074,0.3719297250894334
