,A,B,C
4.915505,6.278200034123243e-06,0.004309860394519103,0.005683861405445867
4.964495,5.833386273781441e-06,0.004268281373233634,0.005725885240491668
5.0,5.530844128306455e-06,0.004238381039523935,0.005756088116346828
5.015505,5.403696855302266e-06,0.0042253850406398655,0.005769211262503904
5.064495,5.020842103161537e-06,0.004184568010939671,0.005810411146956231
5.1,4.760441664944553e-06,0.00415521803084669,0.005840021527487415
5.115505,4.651004992720242e-06,0.004142461839694433,0.005852887155311897
5.164495,4.32147885323187e-06,0.004102400255664021,0.005893278265481789
5.2,4.0973501186479985e-06,0.004073595541696665,0.0059223071081837145
5.215505,4.003157101805739e-06,0.004061076851594219,0.005934919991303006
5.264495,3.7195313246697814e-06,0.004021763107029799,0.0059745173616445515
5.3,3.5266219347696455e-06,0.003993497863115875,0.0060029755149483615
5.315505,3.4455492537248397e-06,0.003981214072929266,0.006015340377816017
5.364495,3.2014302846473777e-06,0.003942639688078285,0.006054158881636067
5.4,3.035391633776766e-06,0.00391490753632719,0.006082057072038018
5.415505,2.9656117304236363e-06,0.003902855803678042,0.006094178584590522
5.464495,2.755496586217704e-06,0.0038650115851941638,0.006132232918218596
5.5,2.6125857947979386e-06,0.003837805674446859,0.006159581739757307
5.515505,2.552525675295031e-06,0.003825982961267131,0.006171464513056541
5.564495,2.3716778944301544e-06,0.0037888591391268323,0.006208769182977694
5.6,2.2486734361480943e-06,0.003762172237840989,0.006235579088721806
5.615505,2.1969792121471117e-06,0.0037505753493456543,0.006247227671441142
5.664495,2.0413220843976916e-06,0.003714161693950514,0.006283796983964025
5.7,1.9354511658550723e-06,0.0036879862696136034,0.006310078279219464
5.715505,1.8909575348536496e-06,0.003676611887612781,0.006321497154851291
5.764495,1.756982203205527e-06,0.0036408978098521425,0.006357345207943568
5.8,1.6658582590038029e-06,0.003615226096809598,0.006383108044930301
5.815505,1.6275622358416566e-06,0.0036040708081531885,0.0063943016296098745
5.864495,1.5122485990699436e-06,0.003569045444815107,0.00642944230658472
5.9,1.4338174933311528e-06,0.0035438695021375918,0.006454696680367961
5.915505,1.4008558006792609e-06,0.003532929822974943,0.0064656693212232635
5.964495,1.301604433566077e-06,0.0034985821095604086,0.006500116286004901
6.0,1.234098155152671e-06,0.0034738938703478407,0.0065248720314958686
6.015505,1.205727763326928e-06,0.00346316626678977,0.006535628005445767
6.064495,1.120301319849668e-06,0.0034294849994986948,0.006569394699180311
6.1,1.0621981274707992e-06,0.0034052763128237617,0.0065936614890476095
6.115505,1.0377795048943889e-06,0.0033947572185123965,0.006604205001981552
6.164495,9.64252283482401e-07,0.003361731106923221,0.006637304640792132
6.2,9.142424022689611e-07,0.0033379937734494087,0.006661091984147145
6.215505,8.932250990116928e-07,0.003327679604470794,0.006671427170429019
6.264495,8.299396329603462e-07,0.003295297316223339,0.0067038727441425154
6.3,7.868957292334331e-07,0.003272023118388133,0.006727189985881435
6.315505,7.688059686490371e-07,0.003261910285901896,0.006737320908128258
6.364495,7.143356631427935e-07,0.0032301604845103847,0.006769125179825268
6.4,6.77287431811385e-07,0.0032073412120400407,0.00679198150052693
6.415505,6.617174305607446e-07,0.0031974261329481874,0.006801912149620035
6.464495,6.148344040608499e-07,0.0031662975097141374,0.006833087655880577
6.5,5.829466957922489e-07,0.0031439249811294995,0.00685549207217347
6.515505,5.695454715021905e-07,0.0031342040870614572,0.006865226367465805
6.564495,5.291928765725018e-07,0.00310368538792083,0.006895785419201352
6.6,5.017468716734403e-07,0.003081751468601603,0.0069177467845254635
6.615505,4.902123310153225e-07,0.0030722212134539693,0.006927288574213757
6.664495,4.5548053063628307e-07,0.0030423012614764675,0.006957243257991629
6.7,4.3185753526219863e-07,0.003020797878772172,0.0069787702636912845
6.715505,4.219296640980346e-07,0.0030114547450083187,0.006988123325326305
6.764495,3.9203572643005304e-07,0.00298212245916651,0.007017485505105773
6.8,3.7170322585314426e-07,0.0029610416149741347,0.0070385866817987116
6.815505,3.631582279400392e-07,0.002951882118860165,0.007047754722910596
6.864495,3.374282773027409e-07,0.002923126529599811,0.00707653604212158
6.9,3.199279318485175e-07,0.0029024603107695238,0.007097219761297307
6.915505,3.125731839748209e-07,0.0028934810066984402,0.007106206420116267
6.964495,2.904272101940944e-07,0.002865291268767173,0.007134418304021306
7.0,2.7536452324820193e-07,0.002845031855646939,0.007154692779828472
7.015505,2.6903423307894556e-07,0.002836229339681623,0.00716350162608396
7.064495,2.4997301677075407e-07,0.0028085947426092096,0.007191155284372672
7.1,2.3700844195002073e-07,0.0027887344159956977,0.007211028575560991
7.115505,2.3155991069984706e-07,0.002780105328743069,0.007219663111344871
7.164495,2.1515376975770105e-07,0.002753015305311482,0.007246769540917393
7.2,2.0399505678131345e-07,0.002733546452037252,0.007266249552904586
7.215505,1.9930546246724972e-07,0.0027250874809502364,0.007274713213585917
7.264495,1.851845660741962e-07,0.002698531613944447,0.0073012832014880905
7.3,1.7558017279395779e-07,0.002679446731299195,0.00732037768852661
7.315505,1.7154380155541558e-07,0.0026711546124896005,0.007328673843707445
7.364495,1.593898333768835e-07,0.0026451226399792473,0.007354717970185968
7.4,1.511232554591e-07,0.002626414339135194,0.007373434537607927
